text,language
La Chanson de Roland,Old French
I,Old French
"Carles li reis, nostre emperere magnes",Old French
Set anz tuz pleins ad estet en Espaigne:,Old French
Tresqu'en la mer cunquist la tere altaigne.,Old French
N'i ad castel ki devant lui remaigne;,Old French
"Mur ne citet n'i est remes a fraindre,",Old French
"Fors Sarraguce, ki est en une muntaigne.",Old French
"Li reis Marsilie la tient, ki Deu nen aimet;",Old French
Mahumet sert e Apollin recleimet:,Old French
Nes poet guarder que mals ne l'i ateignet. aoi.,Old French
II,Old French
Li reis Marsilie esteit en Sarraguce.,Old French
Alez en est en un verger suz l'umbre;,Old French
"Sur un perrun de marbre bloi se culchet,",Old French
Envirun lui plus de vint milie humes.,Old French
Il en apelet e ses dux e ses cuntes:,Old French
"«Oëz, seignurs, quel pecchet nus encumbret:",Old French
Li empereres Carles de France dulce,Old French
En cest païs nos est venuz cunfundre.,Old French
"Jo nen ai ost qui bataille li dunne,",Old French
Ne n'ai tel gent ki la sue derumpet.,Old French
"Cunseilez mei cume mi savie hume,",Old French
Si m(e) guarisez e de mort et de hunte.»,Old French
"N'i ad paien ki un sul mot respundet,",Old French
Fors Blancandrins de Castel de Valfunde.,Old French
III,Old French
Blancandrins fut des plus saives paiens:,Old French
"De vasselage fut asez chevaler,",Old French
Prozdom i out pur sun seignur aider;,Old French
E dist al rei: «Ore ne vus esmaiez!,Old French
"Mandez Carlun a l'orguillus, (e) al fier,",Old French
f.vFedeilz servises e mult granz amistez.,Old French
"Vos li durrez urs e leons e chens,",Old French
"Set cenz camelz e mil hosturs muers,",Old French
"D'or e d'argent .IIII.C. muls cargez,",Old French
"Cinquante carre, qu'en ferat carier:",Old French
Ben en purrat luer ses soldeiers.,Old French
En ceste tere ad asez osteiet;,Old French
"En France, ad Ais, s'en deit ben repairer.",Old French
Vos le sivrez a la feste seint Michel:,Old French
"Si recevrez la lei de chrestiens,",Old French
Serez ses hom par honur e par ben.,Old French
"S'en volt ostages, e vos l'en enveiez,",Old French
U dis u vint pur lui afiancer.,Old French
Enveiuns i les filz de noz muillers:,Old French
Par nun d'ocire i enveierai le men.,Old French
"f.rAsez est melz qu'il i perdent le chefs,",Old French
"Que nus perduns l'onur ne la deintet,",Old French
Ne nus seiuns cunduiz a mendeier.» aoi.,Old French
IV,Old French
Dist Blancandrins: «Par ceste meie destre,Old French
"E par la barbe ki al piz me ventelet,",Old French
L'ost des Franceis verrez sempres desfere.,Old French
Francs s'en irunt en France la lur tere.,Old French
"Quant cascuns ert a sun meillor repaire,",Old French
"Carles serat ad Ais, a sa capele;",Old French
A seint Michel tendrat mult halte feste.,Old French
"Vendrat li jurz, si passerat li termes,",Old French
N'orrat de nos paroles ne nuveles.,Old French
Li reis est fiers e sis curages pesmes:,Old French
